country,granularity,year,population
Brunei Darussalam,Total,2019,442.68
Brunei Darussalam,Male,2019,235.393
Brunei Darussalam,Female,2019,207.287
Brunei Darussalam,Rural,2019,96.908
Brunei Darussalam,Urban,2019,342.428
Brunei Darussalam,Total,2020,447.404
Brunei Darussalam,Male,2020,238.103
Brunei Darussalam,Female,2020,209.3
Brunei Darussalam,Rural,2020,96.681
Brunei Darussalam,Urban,2020,347.838
Brunei Darussalam,Total,2021,451.721
Brunei Darussalam,Male,2021,240.4
Brunei Darussalam,Female,2021,211.32
Brunei Darussalam,Rural,2021,96.423
Brunei Darussalam,Urban,2021,353.19
Brunei Darussalam,Total,2022,455.37
Brunei Darussalam,Male,2022,242.166
Brunei Darussalam,Female,2022,213.203
Brunei Darussalam,Rural,2022,96.129
Brunei Darussalam,Urban,2022,358.463
Brunei Darussalam,Total,2023,458.949
Brunei Darussalam,Male,2023,243.888
Brunei Darussalam,Female,2023,215.06
Brunei Darussalam,Rural,2023,95.801
Brunei Darussalam,Urban,2023,363.647
Bulgaria,Total,2019,6975.469
Bulgaria,Male,2019,3382.539
Bulgaria,Female,2019,3592.93
Bulgaria,Rural,2019,1722.907
Bulgaria,Urban,2019,5265.832
Bulgaria,Total,2020,6933.652
Bulgaria,Male,2020,3359.488
Bulgaria,Female,2020,3574.164
Bulgaria,Rural,2020,1687.49
Bulgaria,Urban,2020,5253.037
Bulgaria,Total,2021,6877.225
Bulgaria,Male,2021,3330.246
Bulgaria,Female,2021,3546.979
Bulgaria,Rural,2021,1652.403
