Code zone (M49),Zone,Élément,Produit,Année,Unité,Valeur
818,Égypte,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1902.7
818,Égypte,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,1612.1
818,Égypte,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,1078.3
222,El Salvador,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,2863.4
222,El Salvador,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,2811.2
222,El Salvador,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,3012.2
222,El Salvador,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,3148.2
218,Équateur,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,3261
218,Équateur,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,3314.4
218,Équateur,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,3355.3
218,Équateur,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,3322.2
232,Érythrée,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,16217.8
232,Érythrée,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,16527.4
232,Érythrée,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,16657.9
232,Érythrée,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,16134.2
724,Espagne,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1204.9
724,Espagne,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1319.7
724,Espagne,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,1403.3
724,Espagne,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,1457
233,Estonie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1649.1
233,Estonie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1810.4
233,Estonie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,1948.5
233,Estonie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,2093.4
840,États-Unis d'Amérique,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1474.9
840,États-Unis d'Amérique,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1708.7
840,États-Unis d'Amérique,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,1734.3
840,États-Unis d'Amérique,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,2070.4
231,Éthiopie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,5271.1
231,Éthiopie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,4218
231,Éthiopie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,4721.3
231,Éthiopie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,7280.4
643,Fédération de Russie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1391.1
643,Fédération de Russie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1674.5
643,Fédération de Russie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,1900.5
643,Fédération de Russie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,1566.4
242,Fidji,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,4610.8
242,Fidji,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,4829.4
242,Fidji,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,4542.5
242,Fidji,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,4444.2
246,Finlande,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1497.4
246,Finlande,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1556.5
246,Finlande,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,1777.2
246,Finlande,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,1996
250,France,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1753
250,France,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1913.4
250,France,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,2033.9
250,France,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,2182.9
270,Gambie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,3203.4
270,Gambie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,3168.2
270,Gambie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,3023.1
270,Gambie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,2715
268,Géorgie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1919.7
268,Géorgie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1579
268,Géorgie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,2546.5
268,Géorgie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,2553.3
288,Ghana,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,580.9
288,Ghana,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,569.3
288,Ghana,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,405.8
288,Ghana,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,309.3
300,Grèce,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1861.8
300,Grèce,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1880.6
300,Grèce,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,1672.1
300,Grèce,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,1848.8
308,Grenade,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,5914.5
308,Grenade,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,5914.5
308,Grenade,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,4486.9
308,Grenade,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,5261.4
324,Guinée,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,2678.8
324,Guinée,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,3170.6
324,Guinée,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,3693.8
324,Guinée,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,3940.4
226,Guinée équatoriale,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,16733.9
226,Guinée équatoriale,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,17267.7
226,Guinée équatoriale,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,15207.8
226,Guinée équatoriale,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,15367.2
624,Guinée-Bissau,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,3802.9
624,Guinée-Bissau,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,4110.3
624,Guinée-Bissau,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,3549.4
624,Guinée-Bissau,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,3893.4
340,Honduras,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1676.2
340,Honduras,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1751.4
340,Honduras,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,1752.9
340,Honduras,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,1714.2
348,Hongrie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1124.7
348,Hongrie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1263.2
348,Hongrie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,1007.2
348,Hongrie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,1194
184,Îles Cook,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,5622.3
184,Îles Cook,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,8093
184,Îles Cook,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,6763.1
184,Îles Cook,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,6550.3
356,Inde,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,2932.6
